Replaced Class,Modularized Accuracy
0,0.9401044108912439
1,0.9611845738639324
2,0.9161378390488397
3,0.9367178300874259
4,0.9365823668552732
5,0.936837662946638
6,0.9365094251148832
7,0.9365172403013536
