Replaced Class,Modularized Accuracy
0,0.8904444444444445
1,0.838
2,0.9173333333333333
3,0.9191111111111111
4,0.9242222222222222
5,0.9195555555555556
6,0.9148888888888889
7,0.9046666666666666
8,0.9235555555555556
9,0.9037777777777778
