Class 1,Class 2,Modularized Accuracy,Trained Model Accuracy
0,1,0.9693383539537386,0.9752555137170522
0,2,0.9775725593667546,0.9947229551451188
0,3,0.9808219178082191,0.9904109589041096
0,4,0.9825396825396825,0.9888888888888889
0,5,0.9770491803278688,0.9918032786885246
1,2,0.9846768820786143,0.9900066622251832
1,3,0.9809911744738629,0.9891378139850645
1,4,0.9885172241637543,0.9850224663005491
1,5,0.9881744271988174,0.9926090169992609
2,3,0.9731182795698925,0.9865591397849462
2,4,0.991130820399113,0.9966740576496674
2,5,0.9246031746031746,0.9722222222222222
3,4,0.9839816933638444,0.9874141876430206
3,5,0.9419642857142857,0.9553571428571429
4,5,0.9907161803713528,0.9920424403183024
