Class 1,Class 2,Modularized Accuracy,Trained Model Accuracy
0,1,0.97,0.9711111111111111
0,2,0.9811111111111112,0.9822222222222222
0,3,0.9755555555555555,0.9822222222222222
0,4,0.9744444444444444,0.9833333333333333
0,5,0.9655555555555555,0.9733333333333334
0,6,0.9766666666666667,0.9833333333333333
0,7,0.9488888888888889,0.9611111111111111
0,8,0.9866666666666667,0.9922222222222222
0,9,0.9877777777777778,0.9855555555555555
1,2,0.9922222222222222,0.9944444444444445
1,3,0.9922222222222222,0.9955555555555555
1,4,0.9888888888888889,0.9933333333333333
1,5,0.9911111111111112,0.9977777777777778
1,6,0.9944444444444445,0.9966666666666667
1,7,0.9955555555555555,0.9977777777777778
1,8,1.0,0.9988888888888889
1,9,0.9966666666666667,0.9988888888888889
2,3,0.9844444444444445,0.9855555555555555
2,4,0.9633333333333334,0.9788888888888889
2,5,0.9655555555555555,0.9766666666666667
2,6,0.9633333333333334,0.9744444444444444
2,7,0.9811111111111112,0.9933333333333333
2,8,0.9911111111111112,0.9977777777777778
2,9,0.9911111111111112,0.9944444444444445
3,4,0.9711111111111111,0.9844444444444445
3,5,0.9655555555555555,0.9822222222222222
3,6,0.9744444444444444,0.9766666666666667
3,7,0.9733333333333334,0.9822222222222222
3,8,0.96,0.9833333333333333
3,9,0.9833333333333333,0.9877777777777778
4,5,0.95,0.9766666666666667
4,6,0.9677777777777777,0.9811111111111112
4,7,0.9777777777777777,0.9933333333333333
4,8,0.9833333333333333,0.9988888888888889
4,9,0.9922222222222222,0.9966666666666667
5,6,0.97,0.9855555555555555
5,7,0.9766666666666667,0.9844444444444445
5,8,0.9877777777777778,0.9866666666666667
5,9,0.9877777777777778,0.9933333333333333
6,7,0.9822222222222222,0.9877777777777778
6,8,0.9511111111111111,0.98
6,9,0.9633333333333334,0.97
7,8,0.99,0.9944444444444445
7,9,0.9944444444444445,0.9933333333333333
8,9,0.9422222222222222,0.9644444444444444
