Replaced Class,Modularized Accuracy
0,0.9326961981164981
1,0.9286129519823276
2,0.9300453435647018
3,0.9450203464713406
4,0.9368864085571446
5,0.9430066271363795
6,0.9317381699802348
7,0.9261527729333798
8,0.941030112777584
9,0.9326496918962911
10,0.9309987210789443
11,0.9332682246250436
12,0.9327194512266016
