Class 1,Class 2,Modularized Accuracy,Trained Model Accuracy
1,2,0.9808292126283759,0.9755293520983898
1,3,0.9702681476495008,0.9783911141029956
1,4,0.9563559957976887,0.9659612787032869
1,5,0.9619703227780327,0.9719137218907756
1,6,0.9708240202652362,0.9561913276709879
1,7,0.9685005393743258,0.9607065803667746
1,8,0.964949494949495,0.9774747474747475
1,9,0.9763520843018751,0.9740585774058578
1,10,0.9658373344973084,0.9638585770405936
1,11,0.9705529225908373,0.9670142180094786
1,12,0.9629357798165138,0.9511926605504587
2,3,0.981197724991636,0.9831381733021077
2,4,0.9701789799488628,0.9723590364688467
2,5,0.973056573056573,0.9824989824989825
2,6,0.9720252816707887,0.9556471558120363
2,7,0.9768585131894485,0.9696342925659472
2,8,0.975775383610839,0.9821090434214822
2,9,0.9868342309994016,0.9829144225014961
2,10,0.9759588400374182,0.9756470221390707
2,11,0.9817534490431686,0.9548138258418633
2,12,0.9754740061162079,0.9652599388379205
3,4,0.9683111111111111,0.9879555555555556
3,5,0.9872222222222222,0.9974
3,6,0.9708888888888889,0.9828666666666667
3,7,0.9771111111111112,0.9864222222222222
3,8,0.9732222222222222,0.9965333333333334
3,9,0.9886888888888888,0.9991333333333333
3,10,0.9714060031595576,0.9867298578199052
3,11,0.9802591673559415,0.9923076923076923
3,12,0.9718654434250764,0.9866666666666667
4,5,0.9600666666666666,0.9856888888888888
4,6,0.9592888888888889,0.9705777777777778
4,7,0.9674444444444444,0.9748222222222223
4,8,0.9725777777777778,0.9862666666666666
4,9,0.9773762197325624,0.9865799301289001
4,10,0.9679888656924147,0.9804221758292739
4,11,0.9746238425925926,0.9743055555555555
4,12,0.9662996941896025,0.970519877675841
5,6,0.9649777777777778,0.9799111111111111
5,7,0.9708222222222223,0.9853777777777778
5,8,0.9654222222222222,0.9944444444444445
5,9,0.9837622777570558,0.995449459157031
5,10,0.967203513909224,0.982772083943387
5,11,0.9788065000682781,0.9886658473303291
5,12,0.9722935779816514,0.982874617737003
6,7,0.9735333333333334,0.9712444444444445
6,8,0.967,0.9779111111111111
6,9,0.9795111111111111,0.9832444444444445
6,10,0.9666888888888889,0.9616666666666667
6,11,0.973254189944134,0.9709962756052142
6,12,0.9658103975535168,0.9614067278287461
7,8,0.9720444444444445,0.9842
7,9,0.9879111111111111,0.9877777777777778
7,10,0.9724222222222222,0.9731333333333333
7,11,0.9802027429934407,0.9782230172927847
7,12,0.9735779816513761,0.9706422018348624
8,9,0.9844444444444445,0.9969333333333333
8,10,0.9671555555555555,0.9756222222222222
8,11,0.9798089336431707,0.9893106119287374
8,12,0.9670336391437309,0.9823853211009175
9,10,0.983,0.9815777777777778
9,11,0.9925465838509316,0.9928312629399586
9,12,0.9877675840978594,0.9892354740061162
10,11,0.979394437594191,0.9853952596246061
10,12,0.9681345565749235,0.9750458715596331
11,12,0.9781651376146789,0.9735779816513761
