Replaced Class,Modularized Accuracy
0,0.908
1,0.9055555555555556
2,0.9117777777777778
3,0.9097777777777778
4,0.912
5,0.9153333333333333
6,0.9004444444444445
7,0.9111111111111111
8,0.9142222222222223
9,0.8997777777777778
