Class 1,Class 2,Modularized Accuracy,Trained Model Accuracy
1,2,0.9648178613396005,0.9593889541715629
1,3,0.9855598774568861,0.9901122164469381
1,4,0.9768501937290398,0.9798293882069482
1,5,0.9916991681910744,0.9981448244917682
1,6,0.9769382950197836,0.9710195873254636
1,7,0.989058463223091,0.9939945591732681
2,3,0.9397372742200328,0.9061576354679803
2,4,0.40560519902518277,0.6675873273761169
2,5,0.9658792650918635,0.9611220472440944
2,6,0.5484210526315789,0.6384615384615384
2,7,0.8850057292519234,0.884923882795875
3,4,0.4514208389715832,0.9326116373477673
3,5,0.7584586466165414,0.8327067669172933
3,6,0.7706408775981525,0.9087759815242494
3,7,0.5513771186440678,0.5513771186440678
4,5,0.9536397449521785,0.9582890541976621
4,6,0.49077238550922764,0.6773752563226247
4,7,0.8382923673997412,0.8615782664941786
5,6,0.9698571428571429,0.9671428571428572
5,7,0.8789954337899544,0.8864155251141552
6,7,0.8142493638676844,0.8307888040712468
