Replaced Class,Replaced With Class,Modularized Accuracy,Model Accuracy,Diff,,,,
4,10,0.7595588235,0.9452205882,-0.1856617647,,,,
1,5,0.7717895823,0.9583548221,-0.1865652398,,,,
8,5,0.7849406911,0.9740845797,-0.1891438886,,,,
1,10,0.7468137255,0.9507352941,-0.2039215686,,,,
7,8,0.7132345915,0.9248924988,-0.2116579073,,,,
8,8,0.7139990444,0.9329192547,-0.2189202102,,,,
4,8,0.705112279,0.9432393693,-0.2381270903,,,,
6,8,0.713616818,0.9564261825,-0.2428093645,,,,
9,8,0.7053989489,0.9502150024,-0.2448160535,,,,
5,8,0.7049211658,0.9543239369,-0.2494027711,,,,
3,8,0.7100812231,0.963306259,-0.2532250358,,,,
2,8,0.7089345437,0.9644529384,-0.2555183946,,,,
0,8,0.6991877688,0.9609173435,-0.2617295748,,Mean,Median,Better in
1,8,0.6830387004,0.9507883421,-0.2677496417,,-0.1223143972,-0.1367917309,0.1166666667
